lei,respondent_name,respondent_city,respondent_state,type_name,respondent_rssd
5493000V7431YLIMOX56,NAT BANK OF COMMERCE,Birmingham,AL,Bank or Affiliate,3275939
549300SF1PZFMR2YDI96,THE 1ST NAT BANK OF WYNNE,Wynne,AR,Bank or Affiliate,988845
549300W6GQTN13GWDQ17,THE MALVERN NAT BANK,Malvern,AR,Bank or Affiliate,906241
549300UHLXT004ITEJ56,1ST NAT BANK OF EASTERN ARKANSAS,Forrest City,AR,Bank or Affiliate,251745
254900BJAOL0DFF9A885,INTEGRITY 1ST BANK,Mountain Home,AR,Bank or Affiliate,26242
549300XHAIQYHZG7KY40,THE 1ST NAT BANK OF LAS ANIMAS,Las Animas,CO,Bank or Affiliate,513256
5493006G148FKG4GC506,EVERGREEN NAT BANK,Evergreen,CO,Bank or Affiliate,427858
5493003VL1891MV4Y526,PATRIOT BANK,Stamford,CT,Bank or Affiliate,2236821
549300SGSDB4HQJSLK07,FLORIDA COMMUNITY BANK,Weston,FL,Bank or Affiliate,4041421
549300POAFZ9PGU16760,EDISON NAT BANK,Fort Myers,FL,Bank or Affiliate,2594419
549300ZC90ZINB3GMG04,EXECUTIVE NAT BANK,Miami,FL,Bank or Affiliate,1002430
2549001SGCT0DXW9UA79,THE 1ST NAT BANK OF MOUNT DORA,Mount Dora,FL,Bank or Affiliate,61832
549300B4NFKK32EM2C60,THE 1ST NAT BANK OF SOUTH MIAMI,South Miami,FL,Bank or Affiliate,794336
54930041WT62XX21KC11,SUMMIT BANK,Panama City,FL,Bank or Affiliate,3696936
2549006WPD8JIY1AFO12,SOUTHEAST 1ST NAT BANK,Summerville,GA,Bank or Affiliate,563934
549300I0X310UO0GSO83,AMER COMMERCE BANK,Bremen,GA,Bank or Affiliate,3272956
549300J42PFPFWJKG874,CHARTERBANK,West Point,GA,Bank or Affiliate,551070
549300AMRUIP5NTH2V73,SOUTHCREST BANK,Thomaston,GA,Bank or Affiliate,165039
213800GF3VF8WSF5Q651,FOREST PARK NAT B&T,FOREST PARK,GA,Bank or Affiliate,926632
254900BH50BFK66NHC96,1ST BURKE BANKING CO,WAYNESBORO,GA,Bank or Affiliate,31134
549300STIW51KDGL2B62,1ST NAT COMMUNITY BANK,Chatsworth,GA,Bank or Affiliate,450632
549300CFZ6PC3YYDJQ89,HAWAII NAT BANK,Honolulu,HI,Bank or Affiliate,915065
549300Y8IS1X2RWXET69,AMER BANK,Le Mars,IA,Bank or Affiliate,345345
549300ZK7EAZ7CRGCU94,THE 1ST NAT BANK OF RAYMOND,Raymond,IL,Bank or Affiliate,421445
549300YJEIYIINWT8473,THE 1ST NAT BANK OF MCHENRY,Mchenry,IL,Bank or Affiliate,231336
549300KX2KT8MOAS5Q71,STATE BANK OF THE LAKES,Antioch,IL,Bank or Affiliate,595430
54930010ZG6EHTCJ1L21,OLD PLANK TRAIL COMMUNITY BANK,New Lenox,IL,Bank or Affiliate,3404207
25490001F0A9F7BV6B05,ALBANY B&T,Chicago,IL,Bank or Affiliate,2732
254900ZOIZTP7ZF6AH17,RESOURCE BANK,DeKalb,IL,Bank or Affiliate,235530
549300P37SX9HZ1GNJ59,COLUMBIA NAT BANK,Columbia,IL,Bank or Affiliate,1006344
YJMYTIGWK1HM7EQ06C15,MB FIN BANK,Chicago,IL,Bank or Affiliate,656733
549300P7J9S1WSW4VU68,VILLAGE BANK & TRUST,Arlington Heights,IL,Bank or Affiliate,2298995
549300NQEVX22YVYW384,1ST NAT B&T,Clinton,IL,Bank or Affiliate,32234
549300K35KPBBS2J9A28,PEOPLES NAT BANK OF KEWANEE,Kewanee,IL,Bank or Affiliate,823133
549300FOO7XNZ1564N12,BEVERLY B&T,Chicago,IL,Bank or Affiliate,3216017
CLHA5EVJO4FMZ2WOBV70,NORTHBROOK B&T,Northbrook,IL,Bank or Affiliate,2938198
549300OVNJWJXYPGIU28,BANKCHAMPAIGN,Champaign,IL,Bank or Affiliate,436739
3HICJPQ15PGZSBFDNJ82,CRYSTAL LAKE B&T,Crystal Lake,IL,Bank or Affiliate,2624400
549300S5LHMBX3WRT314,WHEATON B&T,Wheaton,IL,Bank or Affiliate,2044811
549300BO5UTSDB76V724,THE HAVANA NAT BANK,Havana,IL,Bank or Affiliate,940731
54930041S7CZYMJ4CH46,THE 1ST NAT BANK IN TREMONT,Tremont,IL,Bank or Affiliate,353546
5493008KRFDENOBVE608,SOUTH CENTRAL BANK,Chicago,IL,Bank or Affiliate,18135
2I8LP0RLR14D1X6W0P51,SCHAUMBURG B&T,Schaumburg,IL,Bank or Affiliate,2970657
5493004MWCDBCBTXE044,LAKE FOREST B&T,Lake Forest,IL,Bank or Affiliate,1917301
01ERPZV3DOLNXY2MLB90,LIBERTYVILLE B&T,Libertyville,IL,Bank or Affiliate,2339795
549300Z0OW7UDR5F5Z46,THE HOME NAT BANK OF THORNTOWN,Thorntown,IN,Bank or Affiliate,696645
875500IRGJS5OZLCNW49,THE MIDLAND NAT BANK OF NEWTON,Newton,KS,Bank or Affiliate,576653
549300QUH5S3VFIWMU57,GNBANK,Girard,KS,Bank or Affiliate,928056
254900YTIBBOK7PFSV38,FNB BANK,Goodland,KS,Bank or Affiliate,805250
549300JYEEYQ3BXVCX06,THE CITIZENS NAT BANK,Greenleaf,KS,Bank or Affiliate,991555
